feature,importance
arbk_aktiviteti_1_pershkrimi,46.45915567128425
capital_to_sale_price_ratio,9.398178182254723
arbk_statusiarbk,6.939214547425189
arbk_kapitali,4.603100016961873
arbk_aktiviteti_2_pershkrimi,3.846562181549039
arbk_pronari_1_kapitali_is_outlier_iqr,3.5449326775445993
qytet_apo_fshat_lokacioni_i_asetit_te_shitur,2.6017958117597
rajoni_akp,2.492143283277583
komuna_lokacioni_i_asetit_te_shitur,2.2178559702036047
business_age_days_at_sale,2.037554825863723
asset_structure_type,1.9222855806088464
menyra_e_shitjes,1.8970174089926464
arbk_pronari_1_kapitali,1.8222345549234247
eshte_shitur_si_ndermarrje_e_re_apo_aset_ne_likuidim,1.767868532777396
kategoria_e_asetit,1.6881303547884472
siperfaqja_e_tokes_ne_metra_katror,1.3233886921193703
business_age_years_at_sale,1.2680573385323215
arbk_aktiviteti_1_kodinace_is_outlier_iqr,0.8361421790921321
log_sale_price,0.7853943046159387
siperfaqja_e_objektit_nese_ka_objekt_te_toka_dhe_dihet_siperfaqja_m2,0.4922885778169531
contract_year,0.4793011711300432
cmimi_i_shitjes_se_asetit,0.3162165878790185
price_per_object_m2,0.26050173959847567
total_area_m2,0.2036321363457619
contract_quarter,0.19915580650393527
arbk_aktiviteti_3_kodinace_is_outlier_iqr,0.18204617179309573
capital_to_sale_price_ratio_is_outlier_iqr,0.1398093765206777
arbk_numripunetoreve,0.06399384276632127
object_to_land_ratio,0.062004196404362395
price_per_land_m2,0.05637487614950031
is_land_only,0.04715111101852552
contract_month,0.0465122914984618
price_per_total_m2,0.0
